"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Клик по кнопке поиска","38442","Поиск фильма, получение результатов в саджестах и на странице результатов поиска","Поиск","Sun Dec 14 20:40:24 UTC 2025","passed","Sun Dec 14 20:41:03 UTC 2025","","","",""
"Клик по кнопке добавления в избранное","45643","Добавление фильма в избранное и раздел избранное в профиле","Избранное","Sun Dec 14 20:39:26 UTC 2025","passed","Sun Dec 14 20:40:12 UTC 2025","","","",""
"Клик по кнопке входа","1877","Успешная авторизация и проверка данных пользователя","Авторизация","Sun Dec 14 20:40:17 UTC 2025","passed","Sun Dec 14 20:40:19 UTC 2025","","","",""
"Click fav button","2167","Добавление оценки и отзыва к фильму","Оценки и отзывы","Sun Dec 14 20:40:13 UTC 2025","passed","Sun Dec 14 20:40:16 UTC 2025","","","",""
"Клик по кнопке регистрации","2424","Успешная регистрация и проверка данных пользователя","Регистрация","Sun Dec 14 20:40:20 UTC 2025","passed","Sun Dec 14 20:40:23 UTC 2025","","","",""
