"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Клик по кнопке добавления в избранное","4481","Добавление фильма в избранное и раздел избранное в профиле","Избранное","Mon Dec 15 23:18:28 UTC 2025","passed","Mon Dec 15 23:18:32 UTC 2025","","","",""
"Клик по кнопке поиска","2066","Поиск фильма, получение результатов в саджестах и на странице результатов поиска","Поиск","Mon Dec 15 23:18:44 UTC 2025","passed","Mon Dec 15 23:18:46 UTC 2025","","","",""
"Клик по кнопке входа","1817","Успешная авторизация и проверка данных пользователя","Авторизация","Mon Dec 15 23:18:37 UTC 2025","passed","Mon Dec 15 23:18:39 UTC 2025","","","",""
"Клик по кнопке регистрации","1820","Успешная регистрация и проверка данных пользователя","Регистрация","Mon Dec 15 23:18:41 UTC 2025","passed","Mon Dec 15 23:18:43 UTC 2025","","","",""
"Click fav button","2160","Добавление оценки и отзыва к фильму","Оценки и отзывы","Mon Dec 15 23:18:34 UTC 2025","passed","Mon Dec 15 23:18:36 UTC 2025","","","",""
