"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27433","Добавление фильма в избранное и раздел избранное в профиле","Избранное","Sun Dec 14 13:04:08 UTC 2025","broken","Sun Dec 14 13:04:36 UTC 2025","","","",""
"","4922","Успешная регистрация и проверка данных пользователя","Регистрация","Sun Dec 14 13:04:51 UTC 2025","failed","Sun Dec 14 13:04:56 UTC 2025","","","",""
"","5058","Успешная авторизация и проверка данных пользователя","Авторизация","Sun Dec 14 13:04:45 UTC 2025","failed","Sun Dec 14 13:04:50 UTC 2025","","","",""
"","6602","Добавление оценки и отзыва к фильму","Оценки и отзывы","Sun Dec 14 13:04:37 UTC 2025","broken","Sun Dec 14 13:04:44 UTC 2025","","","",""
"","4975","Поиск фильма, получение результатов в саджестах и на странице результатов поиска","Поиск","Sun Dec 14 13:04:58 UTC 2025","failed","Sun Dec 14 13:05:03 UTC 2025","","","",""
