"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4659","Поиск фильма, получение результатов в саджестах и на странице результатов поиска","Поиск","Mon Dec 15 22:33:50 UTC 2025","failed","Mon Dec 15 22:33:54 UTC 2025","","","",""
"","4676","Успешная авторизация и проверка данных пользователя","Авторизация","Mon Dec 15 22:33:38 UTC 2025","failed","Mon Dec 15 22:33:42 UTC 2025","","","",""
"","5653","Добавление оценки и отзыва к фильму","Оценки и отзывы","Mon Dec 15 22:33:31 UTC 2025","broken","Mon Dec 15 22:33:36 UTC 2025","","","",""
"","4650","Успешная регистрация и проверка данных пользователя","Регистрация","Mon Dec 15 22:33:44 UTC 2025","failed","Mon Dec 15 22:33:48 UTC 2025","","","",""
"","7901","Добавление фильма в избранное и раздел избранное в профиле","Избранное","Mon Dec 15 22:33:21 UTC 2025","broken","Mon Dec 15 22:33:29 UTC 2025","","","",""
