"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Click fav button","2164","Добавление оценки и отзыва к фильму","Оценки и отзывы","Mon Dec 15 11:45:36 UTC 2025","passed","Mon Dec 15 11:45:39 UTC 2025","","","",""
"Клик по кнопке входа","1912","Успешная авторизация и проверка данных пользователя","Авторизация","Mon Dec 15 11:45:40 UTC 2025","passed","Mon Dec 15 11:45:42 UTC 2025","","","",""
"Клик по кнопке поиска","2408","Поиск фильма, получение результатов в саджестах и на странице результатов поиска","Поиск","Mon Dec 15 11:45:57 UTC 2025","passed","Mon Dec 15 11:46:00 UTC 2025","","","",""
"Клик по кнопке добавления в избранное","3914","Добавление фильма в избранное и раздел избранное в профиле","Избранное","Mon Dec 15 11:45:31 UTC 2025","passed","Mon Dec 15 11:45:35 UTC 2025","","","",""
"Клик по кнопке регистрации","12273","Успешная регистрация и проверка данных пользователя","Регистрация","Mon Dec 15 11:45:43 UTC 2025","passed","Mon Dec 15 11:45:56 UTC 2025","","","",""
