"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Клик по кнопке поиска","3166","Поиск фильма, получение результатов в саджестах и на странице результатов поиска","Поиск","Mon Dec 15 11:00:00 UTC 2025","passed","Mon Dec 15 11:00:03 UTC 2025","","","",""
"Клик по кнопке регистрации","12220","Успешная регистрация и проверка данных пользователя","Регистрация","Mon Dec 15 10:59:46 UTC 2025","passed","Mon Dec 15 10:59:58 UTC 2025","","","",""
"Клик по кнопке входа","1846","Успешная авторизация и проверка данных пользователя","Авторизация","Mon Dec 15 10:59:43 UTC 2025","passed","Mon Dec 15 10:59:45 UTC 2025","","","",""
"Клик по кнопке добавления в избранное","3820","Добавление фильма в избранное и раздел избранное в профиле","Избранное","Mon Dec 15 10:59:34 UTC 2025","passed","Mon Dec 15 10:59:38 UTC 2025","","","",""
"Click fav button","2092","Добавление оценки и отзыва к фильму","Оценки и отзывы","Mon Dec 15 10:59:39 UTC 2025","passed","Mon Dec 15 10:59:41 UTC 2025","","","",""
