"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Click fav button","2111","Добавление оценки и отзыва к фильму","Оценки и отзывы","Mon Dec 15 00:26:55 UTC 2025","passed","Mon Dec 15 00:26:57 UTC 2025","","","",""
"Клик по кнопке поиска","2533","Поиск фильма, получение результатов в саджестах и на странице результатов поиска","Поиск","Mon Dec 15 00:27:06 UTC 2025","passed","Mon Dec 15 00:27:08 UTC 2025","","","",""
"Клик по кнопке входа","1889","Успешная авторизация и проверка данных пользователя","Авторизация","Mon Dec 15 00:26:59 UTC 2025","passed","Mon Dec 15 00:27:01 UTC 2025","","","",""
"Клик по кнопке регистрации","1979","Успешная регистрация и проверка данных пользователя","Регистрация","Mon Dec 15 00:27:02 UTC 2025","passed","Mon Dec 15 00:27:04 UTC 2025","","","",""
"Клик по кнопке добавления в избранное","4313","Добавление фильма в избранное и раздел избранное в профиле","Избранное","Mon Dec 15 00:26:49 UTC 2025","passed","Mon Dec 15 00:26:54 UTC 2025","","","",""
