"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Click fav button","2131","Добавление оценки и отзыва к фильму","Оценки и отзывы","Mon Dec 15 16:07:28 UTC 2025","passed","Mon Dec 15 16:07:31 UTC 2025","","","",""
"Клик по кнопке регистрации","2232","Успешная регистрация и проверка данных пользователя","Регистрация","Mon Dec 15 16:07:35 UTC 2025","passed","Mon Dec 15 16:07:37 UTC 2025","","","",""
"Клик по кнопке добавления в избранное","5521","Добавление фильма в избранное и раздел избранное в профиле","Избранное","Mon Dec 15 16:07:21 UTC 2025","passed","Mon Dec 15 16:07:27 UTC 2025","","","",""
"Клик по кнопке входа","1747","Успешная авторизация и проверка данных пользователя","Авторизация","Mon Dec 15 16:07:32 UTC 2025","passed","Mon Dec 15 16:07:34 UTC 2025","","","",""
"Клик по кнопке поиска","2786","Поиск фильма, получение результатов в саджестах и на странице результатов поиска","Поиск","Mon Dec 15 16:07:39 UTC 2025","passed","Mon Dec 15 16:07:41 UTC 2025","","","",""
