"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7773","Добавление фильма в избранное и раздел избранное в профиле","Избранное","Mon Dec 15 23:30:40 UTC 2025","broken","Mon Dec 15 23:30:48 UTC 2025","","","",""
"","4599","Успешная авторизация и проверка данных пользователя","Авторизация","Mon Dec 15 23:30:57 UTC 2025","failed","Mon Dec 15 23:31:01 UTC 2025","","","",""
"","5626","Добавление оценки и отзыва к фильму","Оценки и отзывы","Mon Dec 15 23:30:50 UTC 2025","broken","Mon Dec 15 23:30:55 UTC 2025","","","",""
"","4626","Поиск фильма, получение результатов в саджестах и на странице результатов поиска","Поиск","Mon Dec 15 23:31:09 UTC 2025","failed","Mon Dec 15 23:31:13 UTC 2025","","","",""
"","4632","Успешная регистрация и проверка данных пользователя","Регистрация","Mon Dec 15 23:31:03 UTC 2025","failed","Mon Dec 15 23:31:07 UTC 2025","","","",""
