"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60214","Добавление фильма в избранное и раздел избранное в профиле","Избранное","Thu Dec 18 12:59:10 UTC 2025","broken","Thu Dec 18 13:00:10 UTC 2025","","","",""
"","60182","Поиск фильма, получение результатов в саджестах и на странице результатов поиска","Поиск","Thu Dec 18 13:03:17 UTC 2025","broken","Thu Dec 18 13:04:17 UTC 2025","","","",""
"","60176","Добавление оценки и отзыва к фильму","Оценки и отзывы","Thu Dec 18 13:00:12 UTC 2025","broken","Thu Dec 18 13:01:12 UTC 2025","","","",""
"","60195","Успешная авторизация и проверка данных пользователя","Авторизация","Thu Dec 18 13:01:13 UTC 2025","broken","Thu Dec 18 13:02:14 UTC 2025","","","",""
"","60193","Успешная регистрация и проверка данных пользователя","Регистрация","Thu Dec 18 13:02:15 UTC 2025","broken","Thu Dec 18 13:03:15 UTC 2025","","","",""
