"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4175","Успешная авторизация и проверка данных профиля","Регистрация и профиль пользователя","Sun Dec 14 01:57:52 UTC 2025","failed","Sun Dec 14 01:57:56 UTC 2025","","","",""
"Click fav button","4365","Добавление фильма в избранное и раздел избранное в профиле","Добавление фильма в избранное и раздел избранное в профиле","Sun Dec 14 01:57:39 UTC 2025","passed","Sun Dec 14 01:57:43 UTC 2025","","","",""
"Verify successful redirection","2504","Успешная авторизация и проверка данных профиля","Регистрация и профиль пользователя","Sun Dec 14 01:57:48 UTC 2025","passed","Sun Dec 14 01:57:51 UTC 2025","","","",""
"Verify successful redirection","1855","Успешная авторизация и проверка данных профиля","Авторизация и профиль пользователя","Sun Dec 14 01:57:45 UTC 2025","passed","Sun Dec 14 01:57:46 UTC 2025","","","",""
