"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authentication","1","User Login","2","0","Successful Login","0"
"0","Favorites","0","User favorites","1","0","Successful adding to favorites","0"
"0","Authentication","0","User Login","2","0","Verify Profile Data","0"
"0","Authentication","0","Profile Information","2","0","Successful Login","0"
"0","Authentication","0","Profile Information","2","0","Verify Profile Data","0"
"0","User Profile","0","User Login","2","0","Successful Login","0"
"0","User Profile","0","User Login","2","0","Verify Profile Data","0"
"0","User Profile","0","Profile Information","2","0","Successful Login","0"
"0","User Profile","0","Profile Information","2","0","Verify Profile Data","0"
